,reviews,rates,reviews_spl,lemmas
36,"Наверное лучший торговый центр в Москве. Огромная парковка, всегда есть места. Множество магазинов и шикарный ресторанный дворик. Есть все и даже больше. Целый день развлекаться можно всей семьей, но денег взять с собой побольше. Все как и везде в Москве не дешево.",5,Наверное лучший торговый центр в Москве  Огромная парковка всегда есть места  Множество магазинов и шикарный ресторанный дворик  Есть все и даже больше  Целый день развлекаться можно всей семьей но денег взять с собой побольше  Все как и везде в Москве не дешево  ,наверное хороший торговый центр в москва огромный парковка всегда быть место множество магазин и шикарный ресторанный дворик быть все и даже много целый день развлекаться можно весь семья но деньги взять с себя много все как и везде в москва не дешевый
37,"Замечательный торговый комплекс есть все, люблю это место, гуляю с друзьями. Оправдывает свои Габориты, самый большой тц в Европе. ",5,Замечательный торговый комплекс есть все люблю это место гуляю с друзьями  Оправдывает свои Габориты самый большой тц в Европе  ,замечательный торговый комплекс быть все любить этот место гулять с друг оправдывать свой габорит самый большой тц в европа
38,"Рекомендую пометить этот ТРЦ вместе с ребёнком , который любит подвижные активности . Очень хвалю Панда Парк и Заманию . Вокруг очень много точек питания на все вкусы, единственный минус : ребёнка нельзя оставлять одного, только в присутствии родителя ,",5,Рекомендую пометить этот ТРЦ вместе с ребёнком  который любит подвижные активности   Очень хвалю Панда Парк и Заманию   Вокруг очень много точек питания на все вкусы единственный минус : ребёнка нельзя оставлять одного только в присутствии родителя ,рекомендовать помечать этот трц вместе с ребенок который любить подвижной активность очень хвалить панда парк и замания вокруг очень много точка питание на весь вкус единственный минус : ребенок нельзя оставлять один только в присутствие родитель
39,"Огромный торговый цент , можно ходить целый день , есть много кафе /ресторанов на любой вкус и кошелёк 👍🏻однако не так много магазинов для детей ( любого возраста )определённо для бесцельного время провождения ТЦ хорош , а вот если нужно одеть /обуть детей , пожалуй  выберу</span><span>&hellip;",5,Огромный торговый цент  можно ходить целый день  есть много кафе /ресторанов на любой вкус и кошелёк 👍🏻однако не так много магазинов для детей  любого возраста определённо для бесцельного время провождения ТЦ хорош  а вот если нужно одеть /обуть детей  пожалуй  выберу,огромный торговый цент можно ходить целый день быть много кафе / ресторан на любой вкус и кошелек 👍🏻 однако не так много магазин для ребенок любой возраст определенно для бесцельный время провождение тц хороший а вот если нужно одевать / обувать ребенок пожалуй выбирать
40,"Посещение авиапарка надо начинать с просмотра аквариума,красота высота завораживающая,далее мир покупок и эскалаторов,затем перекус на 4 этаже,а потом прогулки по парку,",5,Посещение авиапарка надо начинать с просмотра аквариумакрасота высота завораживающаядалее мир покупок и эскалаторовзатем перекус на 4 этажеа потом прогулки по парку,посещение авиапарк надо начинать с просмотр аквариумакрасота высота завораживающаядалее мир покупка и эскалаторовзатем перекус на 4 этажеа потом прогулка по парк
41,"Мы часто бываем в Авиапарке: работаем поблизости. Наверху ресторанный дворик — кафешки и рестораны на любой вкус и кошелёк. Приходим туда с детьми: на аттракционы и за школьными принадлежностями, за новой недорогой одеждой и за продуктами. И каждый раз любуемся на главную</span><span>&hellip;",5,Мы часто бываем в Авиапарке: работаем поблизости  Наверху ресторанный дворик — кафешки и рестораны на любой вкус и кошелёк  Приходим туда с детьми: на аттракционы и за школьными принадлежностями за новой недорогой одеждой и за продуктами ,мы часто бывать в авиапарк : работать поблизости наверху ресторанный дворик — кафешка и ресторан на любой вкус и кошелек приходить туда с ребенок : на аттракцион и за школьный принадлежность за новый недорогой одежда и за продукт
42,"Очень нравится ТЦ &quot;Авиапарк&quot;, своим расположением и своей логистикой внутри. Каждый раз, приходя сюда, находим всё, что планировали по покупкам. Сам центр намного удобнее всех Мег и тому подобных. Лучший ТЦ Москвы на сегодняшний момент!",5,Очень нравится ТЦ  Авиапарк  своим расположением и своей логистикой внутри  Каждый раз приходя сюда находим всё что планировали по покупкам  Сам центр намного удобнее всех Мег и тому подобных  Лучший ТЦ Москвы на сегодняшний момент  ,очень нравиться тц авиапарк свой расположение и свой логистика внутри каждый раз приходить сюда находить все что планировать по покупка сам центр намного удобный все мег и то подобный хороший тц москва на сегодняшний момент
43,"Охрана препятствует прохождению граждан в ТРЦ, чем нарушает конституционные права граждан на свободу перемещения. Открыто занимается вымогательстом, требуя приобрести маски, не предоставляя их, как это прописано в постановлении правительства N417 от каких-то там апрелей</span><span class=""_1M-1YYJt""> дветыщидвадцатого. Видимо, это какой-то бандитский притон, пойду тратить деньги в более адекватные ТЦ, где маски предоставляются гражданам, а охрана не превышает своих полномочий и не оказывает физического сопротивления покупателям. Уважаемые арендаторы-продавцы ТРЦ &quot;авиапарк&quot; и прочие арендаторы, зарабатывающие на предоставлении услуг,  мне вас искренне жаль, вы теперь работаете в ноль, благодаря такой вот неотесанной охране. Выручку они вам вряд-ли делать будут. А я без лишнего очередного платишка, приобретенного в авиапарк, вернее, неприобритенного, как-нибудь переживу.</span><span>&hellip;",5,Охрана препятствует прохождению граждан в ТРЦ чем нарушает конституционные права граждан на свободу перемещения  Открыто занимается вымогательстом требуя приобрести маски не предоставляя их как это прописано в постановлении правительства N417 от каких-то там апрелей  дветыщидвадцатого  Видимо это какой-то бандитский притон пойду тратить деньги в более адекватные ТЦ где маски предоставляются гражданам а охрана не превышает своих полномочий и не оказывает физического сопротивления покупателям  Уважаемые арендаторы-продавцы ТРЦ  авиапарк  и прочие арендаторы зарабатывающие на предоставлении услуг  мне вас искренне жаль вы теперь работаете в ноль благодаря такой вот неотесанной охране  Выручку они вам вряд-ли делать будут  А я без лишнего очередного платишка приобретенного в авиапарк вернее неприобритенного как-нибудь переживу ,охрана препятствовать прохождение гражданин в трц чем нарушать конституционный право гражданин на свобода перемещение открыто заниматься вымогательст требовать приобретать маска не предоставлять они как это прописывать в постановление правительство N417 от какой - то там апрель дветыщидвадцатый видимо это какой - то бандитский притон пойти тратить деньги в более адекватный тц где маска предоставляться гражданин а охрана не превышать свой полномочие и не оказывать физический сопротивление покупатель уважаемый арендатор - продавец трц авиапарк и прочий арендатор зарабатывать на предоставление услуга я вы искренне жаль вы теперь работать в ноль благодаря такой вот неотесанный охрана выручка они вы вряд - ли делать быть а я без лишний очередной платишка приобретать в авиапарк вернее неприобритенный как - нибудь переживать
44,"ужасное место, совершенно не приспособленное для посещения для лиц с ограничением мобильности и с колясками (маленьких детей). Время ожидания лифта - 20 -30 минут - переполненные лифты с невозможностью уехать на коляске, никаких приоритетов для лифта для людей с колясками.",5,ужасное место совершенно не приспособленное для посещения для лиц с ограничением мобильности и с колясками маленьких детей  Время ожидания лифта - 20 -30 минут - переполненные лифты с невозможностью уехать на коляске никаких приоритетов для лифта для людей с колясками  ,ужасный место совершенно не приспособлять для посещение для лицо с ограничение мобильность и с коляска маленький ребенок время ожидание лифт - 20 - 30 минута - переполнять лифт с невозможность уезжать на коляска никакой приоритет для лифт для человек с коляска
45,"Я конечно понимаю, что 26 марта 2020 года «стояла прям очередь за матрасами» и возможности у руководителя магазина не нашлось, для того чтобы пообщаться со мной, прождал тридцать пять минут, при том что была просьба подождать её (его) 15 минут!  Я не стал дожидаться, и в конце</span><span>&hellip;",5,Я конечно понимаю что 26 марта 2020 года «стояла прям очередь за матрасами» и возможности у руководителя магазина не нашлось для того чтобы пообщаться со мной прождал тридцать пять минут при том что была просьба подождать её его 15 минут ,я конечно понимать что 26 март 2020 год « стоять прямой очередь за матрас » и возможность у руководитель магазин не находиться для то чтобы пообщаться со я прождать тридцать пять минута при то что быть просьба подождать она он 15 минута
46,"В настоящее время ТЦ Авиапарк проталкивает проект прокладки подъездной магистрали в нарушение санитарных норм по 3-Песчаной улице. Это просто катастрофический удар по Ансамблю застройки Песчаных улиц 47-55гг, отнесённому к Исторически ценным градоформирующим объектам. Налицо</span><span>&hellip;",5,В настоящее время ТЦ Авиапарк проталкивает проект прокладки подъездной магистрали в нарушение санитарных норм по 3-Песчаной улице  Это просто катастрофический удар по Ансамблю застройки Песчаных улиц 47-55гг отнесённому к Исторически ценным градоформирующим объектам ,в настоящий время тц авиапарк проталкивать проект прокладка подъездный магистраль в нарушение санитарный норма по 3 - песчаный улица это просто катастрофический удар по ансамбль застройка песчаный улица 47 - 55гг относить к исторически ценный градоформирующий объект
47,"Живем недалеко раньше часто ездили, но больше не будем, платная парковка - при утере талона штраф 500 руб. на выезде пробки, проще съездить в тройку за то же время.",1,Живем недалеко раньше часто ездили но больше не будем платная парковка - при утере талона штраф 500 руб  на выезде пробки проще съездить в тройку за то же время  ,жить недалеко рано часто ездить но больше не быть платный парковка - при утеря талон штраф 500 руб на выезд пробка просто съездить в тройка за тот же время
48,"Как специально сделано так, чтобы было не найти выход! Сначала на эскалаторе спускаешься, не зная, в какое место на парковке попадешь, потом по парковке ездишь кругами, не имея понятия, где у них тут выезд. Ещё и потерянные вещи по камерам никто отслеживать не будет.",1,Как специально сделано так чтобы было не найти выход  Сначала на эскалаторе спускаешься не зная в какое место на парковке попадешь потом по парковке ездишь кругами не имея понятия где у них тут выезд  Ещё и потерянные вещи по камерам никто отслеживать не будет  ,как специально сделать так чтобы быть не находить выход сначала на эскалатор спускаться не знать в какой место на парковка попадать потом по парковка ездить круг не иметь понятие где у они тут выезд еще и потерять вещь по камера никто отслеживать не быть
49,"Раньше до него от метро ходили бесплатные автобусы, теперь руководство решило отменить их, видимо, боялись переплатить. Что  ж , ударили по имиджу. Теперь добираться до тц можно на перекладных, с неудобными пересадками. Либо вынь и отдай бомбиле у метро 400р, обычное такси туда</span><span>&hellip;",1,Раньше до него от метро ходили бесплатные автобусы теперь руководство решило отменить их видимо боялись переплатить  Что  ж  ударили по имиджу  Теперь добираться до тц можно на перекладных с неудобными пересадками ,рано до он от метро ходить бесплатный автобус теперь руководство решать отменять они видимо бояться переплачивать что ж ударять по имидж теперь добираться до тц можно на перекладной с неудобный пересадка
50,В выходные дни платная парковка! Каждый час 50 рублей! Пусть сами гуляют и совершают покупки в своем ТЦ!,1,В выходные дни платная парковка  Каждый час 50 рублей  Пусть сами гуляют и совершают покупки в своем ТЦ  ,в выходной день платный парковка каждый час 50 рубль пусть сам гулять и совершать покупка в свой тц
51,"Вчера были в этом ТЦ. В фойе на 1 этаже 2 молодых человека торговали вязанными варежками, носками и куколками Lol. Купили детям набор из 3 куколок. Они в круглых коконах. Когда сняли упаковку, почувствовали химический запах. Стали слезиться глаза и появился кашель. И из</span><span>&hellip;",1,Вчера были в этом ТЦ  В фойе на 1 этаже 2 молодых человека торговали вязанными варежками носками и куколками Lol  Купили детям набор из 3 куколок  Они в круглых коконах  Когда сняли упаковку почувствовали химический запах  Стали слезиться глаза и появился кашель ,вчера быть в этот тц в фойе на 1 этаж 2 молодой человек торговать вязать варежка носок и куколка Lol купить ребенок набор из 3 куколка они в круглый кокон когда снимать упаковка почувствовать химический запах становиться слезиться глаз и появляться кашель
52,"отвратительный! не первый раз надумают с парковкой. один раз ночью застрял талон в автомате, и я ждала мастера 30 минут!!!! чтобы от открыл его ключом и достал карту. второй раз обдурили с оплатой и якобы &quot;валидацией&quot; двух часов, которые я провела на стоянке, заехав на нее в</span><span>&hellip;",1,отвратительный  не первый раз надумают с парковкой  один раз ночью застрял талон в автомате и я ждала мастера 30 минут        чтобы от открыл его ключом и достал карту ,отвратительный не первый раз надумывать с парковка один раз ночь застревать талон в автомат и я ждать мастер 30 минута чтобы от открывать его ключ и доставать карта
53,"Персонал грубый начиная от гардеробщиц до администраторов  В гардеробе не принимают сумки ! Огромный минус, ладно ещё можно закрыть глаза на грубость и прочее , но мы таскались с большими сумками по всему торговому центру , пару часов - отдых и покупки невозможно было продолжить ",1,Персонал грубый начиная от гардеробщиц до администраторов  В гардеробе не принимают сумки   Огромный минус ладно ещё можно закрыть глаза на грубость и прочее  но мы таскались с большими сумками по всему торговому центру  пару часов - отдых и покупки невозможно было продолжить ,персонал грубый начинать от гардеробщица до администратор в гардероб не принимать сумка огромный минус ладно еще можно закрывать глаз на грубость и прочее но мы таскаться с большой сумка по весь торговый центр пара час - отдых и покупка невозможно быть продолжать
54,"Скотство с парковкой! По выходным два часа бесплатно-пишут они. Нет, господа, не бесплатно. 07.10.2017, 16-42  въехал на парковку, 07.10.2017 18-32 выезжаю- просят доплатить. Не жалко, но создалась очередь, никаких сотрудников-бездельников поблизости нет. Кроме того! Супруга</span><span>&hellip;",1,Скотство с парковкой  По выходным два часа бесплатно-пишут они  Нет господа не бесплатно  07  10  2017 16-42  въехал на парковку 07  10  2017 18-32 выезжаю- просят доплатить  Не жалко но создалась очередь никаких сотрудников-бездельников поблизости нет  Кроме того ,скотство с парковка по выходной два час бесплатно - писать они нет господин не бесплатно 07 10 2017 16 - 42 въезжать на парковка 07 10 2017 18 - 32 выезжать - просить доплачивать не жалко но создаваться очередь никакой сотрудник - бездельник поблизости нет кроме то
55,"Магазин вроде нормальный, но все перечеркивает этот аул, таджики, узбеки да кого там только нет, когда едешь на автобусе такое впечатление, что ты не в Москве, а где-то в горах едешь по перевалу в соседнее село, не хватает только баранов подмышками. Вся прилегающая территория</span><span>&hellip;",1,Магазин вроде нормальный но все перечеркивает этот аул таджики узбеки да кого там только нет когда едешь на автобусе такое впечатление что ты не в Москве а где-то в горах едешь по перевалу в соседнее село не хватает только баранов подмышками ,магазин вроде нормальный но все перечеркивать этот аул таджик узбек да кто там только нет когда ехать на автобус такой впечатление что ты не в москва а где - то в гора ехать по перевал в соседний село не хватать только баран подмышка
56,"Платная парковка (100 руб даже если полчаса); каток мелкий, народу много, пытаются продавать своих инструкторов. Если мама/папа или еще кто будет учить ребенка стоять на коньках - это уже обучение, за лед платите 1000 руб за инструктора. Был случай, что выгнали человека, который</span><span>&hellip;",1,Платная парковка 100 руб даже если полчаса; каток мелкий народу много пытаются продавать своих инструкторов  Если мама/папа или еще кто будет учить ребенка стоять на коньках - это уже обучение за лед платите 1000 руб за инструктора ,платный парковка 100 руб даже если полчаса ; каток мелкий народ много пытаться продавать свой инструктор если мама / папа или еще кто быть учить ребенок стоять на конек - это уже обучение за лед платить 1000 руб за инструктор
57,"Не рассчитывайте найти какую-либо пропавшую вещь в ТЦ Авиапарк (от покупок до документов). Руководство, служба охраны и сотрудники стойки информации Авиапарка в этом смысле проявляют наплевательское отношение и отказываются участвовать в поисках пропажи, ссылаясь на полицию. Для</span><span>&hellip;",1,Не рассчитывайте найти какую-либо пропавшую вещь в ТЦ Авиапарк от покупок до документов  Руководство служба охраны и сотрудники стойки информации Авиапарка в этом смысле проявляют наплевательское отношение и отказываются участвовать в поисках пропажи ссылаясь на полицию ,не рассчитывать находить какой - либо пропадать вещь в тц авиапарк от покупка до документ руководство служба охрана и сотрудник стойка информация авиапарк в этот смысл проявлять наплевательский отношение и отказываться участвовать в поиск пропажа ссылаться на полиция
58,"К самому ТЦ Авиапарк, это не совсем конечно имеет отношение, но все же администрация ТЦ обязана следить и четко отслеживать арендаторов на предмет ведения незаконной деятельности, которая происходит на сдаваемых ими площадях! Итак, родители будьте бдительны и имейте ввиду, что</span><span>&hellip;",1,К самому ТЦ Авиапарк это не совсем конечно имеет отношение но все же администрация ТЦ обязана следить и четко отслеживать арендаторов на предмет ведения незаконной деятельности которая происходит на сдаваемых ими площадях ,к сам тц авиапарк это не совсем конечно иметь отношение но все же администрация тц обязанный следить и четко отслеживать арендатор на предмет ведение незаконный деятельность который происходить на сдавать они площадь
59,"Около торгового дворика есть небольшая стойка с виртуальной реальностью.  20 января , сотрудник этой виртуальной реальности совершенно нагло решил не отдавать мне сдачу . Услуга стоит на 1 человека 300 рублей ,я дала ему тысячу Cдачу он мне дал 200 рублей. На вопрос где</span><span>&hellip;",1,Около торгового дворика есть небольшая стойка с виртуальной реальностью  20 января  сотрудник этой виртуальной реальности совершенно нагло решил не отдавать мне сдачу   Услуга стоит на 1 человека 300 рублей я дала ему тысячу Cдачу он мне дал 200 рублей ,около торговый дворик быть небольшой стойка с виртуальный реальность 20 январь сотрудник этот виртуальный реальность совершенно нагло решать не отдавать я сдача услуга стоять на 1 человек 300 рубль я давать он тысяча сдача он я давать 200 рубль
60,"Цена откровенно завышена. 200-400 руб за 2-3 минуты &quot;пуляния&quot; в нарисованных уродцев ? Из наполовину не работающих пистолетов ? Увольте. 2 &quot;пиратских&quot; тира сделаны непонятно для кого. Датчики работают не точно, ребенок тратит 1-2 минуты, чтобы разобраться, как вообще работают</span><span>&hellip;",1,Цена откровенно завышена  200-400 руб за 2-3 минуты  пуляния  в нарисованных уродцев   Из наполовину не работающих пистолетов   Увольте  2  пиратских  тира сделаны непонятно для кого ,цена откровенно завышать 200 - 400 руб за 2 - 3 минута пуляние в нарисовать уродец из наполовину не работать пистолет увольнять 2 пиратский тир сделать непонятно для кто
61,"Мы с мужем ездим закупаться в этот тц почти каждую неделю, а недавно нас этой возможности немного лишили, убрали бесплатный маршрут до тц, ладно если бы ввели платные маршруты, но нет же!! Теперь нам ездить туда очень не комфортно, так как возвращаемся всегда с тяжелыми</span><span>&hellip;",1,Мы с мужем ездим закупаться в этот тц почти каждую неделю а недавно нас этой возможности немного лишили убрали бесплатный маршрут до тц ладно если бы ввели платные маршруты но нет же   ,мы с муж ездить закупаться в этот тц почти каждый неделя а недавно мы этот возможность немного лишать убирать бесплатный маршрут до тц ладно если бы вводить платный маршрут но нет же
62,"Огромный, бестолковый торговый центр. Р-разочарование. Поехали покупать ребенку обувь на осень, что сейчас очень актуально. В итоге обошли 4 этажа и ни одного магазина с обувью не нашли! Ни одного НОРМАЛЬНОГО магазина, а не китайскую обувь, я имею в виду. Зря потратили время,</span><span>&hellip;",1,Огромный бестолковый торговый центр  Р-разочарование  Поехали покупать ребенку обувь на осень что сейчас очень актуально  В итоге обошли 4 этажа и ни одного магазина с обувью не нашли  Ни одного НОРМАЛЬНОГО магазина а не китайскую обувь я имею в виду ,огромный бестолковый торговый центр р - разочарование поехать покупать ребенок обувь на осень что сейчас очень актуально в итог обходить 4 этаж и ни один магазин с обувь не находить ни один нормальный магазин а не китайский обувь я иметь в вид
63,"Одни таджики, узбеки приезжающие на бесплатных автобусах в АШАН. Нет нормальных магазинов, скучно. Аквариум как труба, абсолютно безвкусно всё.",1,Одни таджики узбеки приезжающие на бесплатных автобусах в АШАН  Нет нормальных магазинов скучно  Аквариум как труба абсолютно безвкусно всё  ,один таджик узбек приезжать на бесплатный автобус в ашан нет нормальный магазин скучно аквариум как труба абсолютно безвкусный все
64,"Отвратительно. С энтузиазмом приняли то что нет воды, соответсвенно чая и кофе. Далее ждали когда обслужат. А это вторник 12:00 дня))). А когда принесли ролы все стало на свои места. Обходите стороной!!! Бегите подальше!!!",1,Отвратительно  С энтузиазмом приняли то что нет воды соответсвенно чая и кофе  Далее ждали когда обслужат  А это вторник 12:00 дня  А когда принесли ролы все стало на свои места  Обходите стороной      Бегите подальше      ,отвратительно с энтузиазм принимать то что нет вода соответсвенно чай и кофе далее ждать когда обслуживать а это вторник 12 : 00 день а когда приносить рол все становиться на свой место обходить сторона бежать далеко
65,"Посещать данный тц пока опасно для жизни. На парковке был открыт канализационный люк.  Ничем не огорожен. Отдельные части люка валялись на дороге. В результате колесо машины попала в составную часть данного люка. Потребоавлось несколько часов, чтобы освободить машину. ",1,Посещать данный тц пока опасно для жизни  На парковке был открыт канализационный люк  Ничем не огорожен  Отдельные части люка валялись на дороге  В результате колесо машины попала в составную часть данного люка  Потребоавлось несколько часов чтобы освободить машину  ,посещать данный тц пока опасный для жизнь на парковка быть открывать канализационный люк ничто не огораживать отдельный часть люк валяться на дорога в результат колесо машина попадать в составной часть данный люк потребоавлось несколько час чтобы освобождать машина
66,"Данный бар находится в центральном детском магазине, это парадокс , но данное заведение не имеет детских кресел.....",1,Данный бар находится в центральном детском магазине это парадокс  но данное заведение не имеет детских кресел          ,данный бар находиться в центральный детский магазин это парадокс но данный заведение не иметь детский кресло
67,"Перед тем, как приходить с ребенком, решила сначала сама всё посмотреть. Ужас! Мало того, что все подходы к магазину перекопаны, с коляской и без нее ребенка привести невозможно,да и вход долго не могла найти среди этих траншей. Так и в самом магазине такой же бардак. Не найти</span><span>&hellip;",1,Перед тем как приходить с ребенком решила сначала сама всё посмотреть  Ужас  Мало того что все подходы к магазину перекопаны с коляской и без нее ребенка привести невозможнода и вход долго не могла найти среди этих траншей  Так и в самом магазине такой же бардак ,перед то как приходить с ребенок решать сначала сам все посмотреть ужас мало то что весь подход к магазин перекопать с коляска и без она ребенок приводить невозможнод и вход долго не мочь находить среди этот траншея так и в сам магазин такой же бардак
68,"Повезло проработать около года в ДМ до реконструкции в 2001-2002 годах, это были незабываемые времена, с которыми связано множество приятных воспоминаний. С содроганием вспоминаю о первом ощущении от &quot;обновленного&quot; ДМ. Сделали очередной ТЦ - не лучшего пошиба - с кучей торговых</span><span>&hellip;",1,Повезло проработать около года в ДМ до реконструкции в 2001-2002 годах это были незабываемые времена с которыми связано множество приятных воспоминаний  С содроганием вспоминаю о первом ощущении от  обновленного  ДМ ,везти прорабатывать около год в дм до реконструкция в 2001 - 2002 год это быть незабываемый время с который связанный множество приятный воспоминание с содрогание вспоминать о первый ощущение от обновлять дм
69,"Парковки нет. Подземная не работает, а уличные функционируют в лучших традициях современной Москвы (там где раньше можно было стоять под углом к тротуару с каждой стороны пр.части - получалось плотненько и вместительно - теперь вообще нельзя стоять - запрещено). Пришлось сделать</span><span>&hellip;",1,Парковки нет  Подземная не работает а уличные функционируют в лучших традициях современной Москвы там где раньше можно было стоять под углом к тротуару с каждой стороны пр  части - получалось плотненько и вместительно - теперь вообще нельзя стоять - запрещено ,парковка нет подземный не работать а уличный функционировать в хороший традиция современный москва там где рано можно быть стоять под угол к тротуар с каждый сторона пр часть - получаться плотненький и вместительный - теперь вообще нельзя стоять - запрещать
70,"Мы были в субботу. Нам не понравилось! Начну с того, что простояли в пробке на Лубянке около 30 мин...Потом искали парковку еще минут 15, затем шли пешкарусом 5 мин. Короче убили почти час. Пришли. Народу......- жуть. Туалетов мало, везде очереди и туалет рассчитан на 3х</span><span>&hellip;",1,Мы были в субботу  Нам не понравилось  Начну с того что простояли в пробке на Лубянке около 30 мин      Потом искали парковку еще минут 15 затем шли пешкарусом 5 мин  Короче убили почти час  Пришли  Народу            - жуть ,мы быть в суббота мы не понравиться начинать с то что простаивать в пробка на лубянка около 30 мина потом искать парковка еще минута 15 затем идти пешкарус 5 мина короткий убивать почти час приходить народ - жуть
71,"Впечатление ужасное! Начиная со входа, понимаешь, что это очередной проект по отмыванию денег. Качество отделки жуткое,асфальт кусками наплывает на гранитную облицовку, зайти с коляской можно только на горбушке - ни одного пандуса у входа, НИ ОДНОГО! Лифты работают на 1,2</span><span>&hellip;",1,Впечатление ужасное  Начиная со входа понимаешь что это очередной проект по отмыванию денег  Качество отделки жуткоеасфальт кусками наплывает на гранитную облицовку зайти с коляской можно только на горбушке - ни одного пандуса у входа НИ ОДНОГО ,впечатление ужасный начинать со вход понимать что это очередной проект по отмывание деньги качество отделка жуткоеасфальт кусок наплывать на гранитный облицовка зайти с коляска можно только на горбушка - ни один пандус у вход ни один
